(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		Chain Link Fence (2148 verts)	-1	True	False	True	3	[Link Metal Fence-_defaultMat (UnityEngine.Material)] [Link Metal Fence-Metal_Corrogated_Shiny (UnityEngine.Material)] [Link Metal Fence-Fencing_Chain_Link (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 653x327 times]
		Chain Link Fence (2148 verts)	-1	True	False	True	3	[Link Metal Fence-_defaultMat (UnityEngine.Material)] [Link Metal Fence-Metal_Corrogated_Shiny (UnityEngine.Material)] [Link Metal Fence-Fencing_Chain_Link (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 653x327 times]
	Simplygon/Specular (484 verts): 
		Plane (Extn.) (1) (121 verts)	-1	True	False	False	1	[Tiles (UnityEngine.Material)] 	
		Plane (121 verts)	-1	True	False	False	1	[Tiles (UnityEngine.Material)] 	
		Plane (Extn.) (2) (121 verts)	-1	True	False	False	1	[Tiles (UnityEngine.Material)] 	
		Plane (Extn.) (121 verts)	-1	True	False	False	1	[Tiles (UnityEngine.Material)] 	
	Standard (885008 verts): 
		Platform_Legs_Small (744 verts)	-1	True	False	True	2	[Oil Rig-[Color_004]1 (UnityEngine.Material)] [Oil Rig-Color_009 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 84x330 times]
		Platform_Leg_Large 3 (1524 verts)	-1	True	False	True	2	[Oil Rig-[Color_004]1 (UnityEngine.Material)] [Oil Rig-Color_009 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 191x370 times]
		windowSlider48x48 1 (312 verts)	-1	True	False	True	3	[Oil Rig-_defaultMat (UnityEngine.Material)] [Oil Rig-_Gray Glass_1 (UnityEngine.Material)] [Oil Rig-_Ivory_ (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 45x44 times]
		Platform_Legs_Small 1 (744 verts)	-1	True	False	True	2	[Oil Rig-[Color_004]1 (UnityEngine.Material)] [Oil Rig-Color_009 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 84x330 times]
		Platform_Leg_Large (1524 verts)	-1	True	False	True	2	[Oil Rig-[Color_004]1 (UnityEngine.Material)] [Oil Rig-Color_009 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 191x370 times]
		Group#49 (3868 verts)	-1	True	False	True	1	[Oil Rig-Color_D01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 123x160 times]
		Platform_Leg_Large 2 (1524 verts)	-1	True	False	True	2	[Oil Rig-[Color_004]1 (UnityEngine.Material)] [Oil Rig-Color_009 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 191x370 times]
		Road(double)_Straight_with_Lines_DoubleSideWalk (260 verts)	-1	True	False	True	5	[Road-Asphalt_New (UnityEngine.Material)] [Road-Color_D01 (UnityEngine.Material)] [Road-_defaultMat (UnityEngine.Material)] [Road-Concrete_Block_8x8_Gray (UnityEngine.Material)] [Road-Concrete_Aggregate_Smoke (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 787x426 times]
		Road(double)_Straight_with_Lines_DoubleSideWalk (260 verts)	-1	True	False	True	5	[Road-Asphalt_New (UnityEngine.Material)] [Road-Color_D01 (UnityEngine.Material)] [Road-_defaultMat (UnityEngine.Material)] [Road-Concrete_Block_8x8_Gray (UnityEngine.Material)] [Road-Concrete_Aggregate_Smoke (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 787x426 times]
		Road(double)_Straight_with_Lines_DoubleSideWalk (260 verts)	-1	True	False	True	5	[Road-Asphalt_New (UnityEngine.Material)] [Road-Color_D01 (UnityEngine.Material)] [Road-_defaultMat (UnityEngine.Material)] [Road-Concrete_Block_8x8_Gray (UnityEngine.Material)] [Road-Concrete_Aggregate_Smoke (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 787x426 times]
		Group 7 (324 verts)	-1	True	False	True	1	[Oil Rig-[Color_004]1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 48x37 times]
		Road(double)_Straight_with_Lines_DoubleSideWalk (260 verts)	-1	True	False	True	5	[Road-Asphalt_New (UnityEngine.Material)] [Road-Color_D01 (UnityEngine.Material)] [Road-_defaultMat (UnityEngine.Material)] [Road-Concrete_Block_8x8_Gray (UnityEngine.Material)] [Road-Concrete_Aggregate_Smoke (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 787x426 times]
		Group 12 (968 verts)	-1	True	False	True	2	[Oil Rig-Color_D01 (UnityEngine.Material)] [Oil Rig-Metal_Steel_Textured_White (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 216x107 times]
		Group 10 (2146 verts)	-1	True	True	True	3	[Oil Rig-Color_D01 (UnityEngine.Material)] [Oil Rig-Color_000 (UnityEngine.Material)] [Oil Rig-Metal_Steel_Textured_White (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 180x72 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Road(double)_Straight_with_Lines_DoubleSideWalk (260 verts)	-1	True	False	True	5	[Road-Asphalt_New (UnityEngine.Material)] [Road-Color_D01 (UnityEngine.Material)] [Road-_defaultMat (UnityEngine.Material)] [Road-Concrete_Block_8x8_Gray (UnityEngine.Material)] [Road-Concrete_Aggregate_Smoke (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 787x426 times]
		Platform_Leg_Large 1 (1524 verts)	-1	True	False	True	2	[Oil Rig-[Color_004]1 (UnityEngine.Material)] [Oil Rig-Color_009 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 191x370 times]
		window#8 639 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 638 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 680 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 640 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 635 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 634 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 637 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		Ramp1 (876 verts)	-1	True	True	True	2	[Oil Rig-Color_000 (UnityEngine.Material)] [Oil Rig-[Color_004]1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 720x517 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Stairs1#2 (5184 verts)	-1	True	True	True	3	[Oil Rig-[Color_004]1 (UnityEngine.Material)] [Oil Rig-Metal_Steel_Textured_White (UnityEngine.Material)] [Oil Rig-Color_D01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 828x582 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Stairs1 (5192 verts)	-1	True	True	True	3	[Oil Rig-[Color_004]1 (UnityEngine.Material)] [Oil Rig-Metal_Steel_Textured_White (UnityEngine.Material)] [Oil Rig-Color_D01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 828x582 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Railings2 (2380 verts)	-1	True	False	True	1	[Oil Rig-Color_D01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 665x340 times]
		windowSlider48x48 (312 verts)	-1	True	False	True	3	[Oil Rig-_defaultMat (UnityEngine.Material)] [Oil Rig-_Gray Glass_1 (UnityEngine.Material)] [Oil Rig-_Ivory_ (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 45x44 times]
		Railings_1 (3245 verts)	-1	True	False	True	1	[Oil Rig-Color_D01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 862x83 times]
		Railings2#1 (3134 verts)	-1	True	False	True	1	[Oil Rig-Color_D01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 866x442 times]
		Ramp1 1 (876 verts)	-1	True	True	True	2	[Oil Rig-Color_000 (UnityEngine.Material)] [Oil Rig-[Color_004]1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 720x517 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		window#8 686 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 685 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 96 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 87 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 682 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 681 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 684 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		Component#48 5 (212 verts)	-1	True	True	True	3	[City-_defaultMat (UnityEngine.Material)] [City-_Black_ (UnityEngine.Material)] [City-_DarkGoldenrod_ (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 71x59 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Rig 1 (6945 verts)	-1	True	True	True	8	[Oil Rig-Color_006 (UnityEngine.Material)] [Oil Rig-[Color_004]1 (UnityEngine.Material)] [Oil Rig-_defaultMat (UnityEngine.Material)] [Oil Rig-Color_D01 (UnityEngine.Material)] [Oil Rig-Color_009 (UnityEngine.Material)] [Oil Rig-[Color_000]1 (UnityEngine.Material)] [Oil Rig-Color_I01 (UnityEngine.Material)] [Oil Rig-Metal_Aluminum_Anodized (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 2314x2125 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Component#48 7 (212 verts)	-1	True	True	True	3	[City-_defaultMat (UnityEngine.Material)] [City-_Black_ (UnityEngine.Material)] [City-_DarkGoldenrod_ (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 71x59 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Component#48 2 (212 verts)	-1	True	True	True	3	[City-_defaultMat (UnityEngine.Material)] [City-_Black_ (UnityEngine.Material)] [City-_DarkGoldenrod_ (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 71x59 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Base_Platform (2300 verts)	-1	True	False	True	2	[Oil Rig-Color_000 (UnityEngine.Material)] [Oil Rig-Color_D01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 862x460 times]
		Component#48 4 (212 verts)	-1	True	True	True	3	[City-_defaultMat (UnityEngine.Material)] [City-_Black_ (UnityEngine.Material)] [City-_DarkGoldenrod_ (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 71x59 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Component#48 3 (212 verts)	-1	True	True	True	3	[City-_defaultMat (UnityEngine.Material)] [City-_Black_ (UnityEngine.Material)] [City-_DarkGoldenrod_ (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 71x59 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Component#48 6 (212 verts)	-1	True	True	True	3	[City-_defaultMat (UnityEngine.Material)] [City-_Black_ (UnityEngine.Material)] [City-_DarkGoldenrod_ (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 71x59 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		window#8 683 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		Group 5 (324 verts)	-1	True	False	True	1	[Oil Rig-[Color_004]1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 48x37 times]
		Group 3 (168 verts)	-1	True	False	True	1	[Oil Rig-[Color_004]1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 40x26 times]
		Group 24 (168 verts)	-1	True	False	True	1	[Oil Rig-[Color_004]1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 40x26 times]
		Group 22 (168 verts)	-1	True	False	True	1	[Oil Rig-[Color_004]1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 40x26 times]
		Group 20 (168 verts)	-1	True	False	True	1	[Oil Rig-[Color_004]1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 40x26 times]
		Group 18 (344 verts)	-1	True	False	True	2	[Oil Rig-Color_D01 (UnityEngine.Material)] [Oil Rig-Color_009 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 71x55 times]
		Group 16 (8927 verts)	-1	True	True	True	2	[Oil Rig-Color_D01 (UnityEngine.Material)] [Oil Rig-Color_009 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 94x246 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		window#8 91 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 94 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 93 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 88 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 95 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 90 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 89 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 92 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 653 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 664 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 675 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 654 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 649 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 652 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 655 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 674 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 677 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 672 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 667 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 678 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 673 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 676 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 679 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 650 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 323 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 491 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 659 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 324 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 319 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 322 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 325 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 658 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 661 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 656 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 651 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 662 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 657 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 660 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 663 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 622 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 633 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 644 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 623 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 618 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 621 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 624 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
		window#8 643 (12 verts)	-1	True	False	True	1	[City-_Gray Glass_1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 27x68 times]
